,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
1,Baseline,fALFF,original,Gradient Boosting,Schaefer,0.242,14.006,0.668,60.0%,74.0%,75.5%,58.1%
0,Baseline,fALFF,"Workflow A 
 (default)",ElasticNet,BASC197,-0.057,16.47,0.534,45.8%,62.1%,73.5%,33.3%
0,Baseline,fALFF,"Workflow A 
 (default)",ElasticNet,BASC444,-0.065,16.53,0.539,45.2%,62.7%,65.3%,42.4%
0,Baseline,fALFF,"Workflow A 
 (default)",ElasticNet,Schaefer,-0.009,16.09,0.438,30.8%,55.4%,63.3%,24.2%
0,Baseline,fALFF,"Workflow A 
 (default)",Gradient Boosting,BASC197,0.17,14.59,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,fALFF,"Workflow A 
 (default)",Gradient Boosting,BASC444,-0.055,16.45,0.564,47.2%,65.2%,61.2%,51.5%
0,Baseline,fALFF,"Workflow A 
 (default)",Gradient Boosting,Schaefer,-0.012,16.12,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,fALFF,"Workflow A 
 (default)",SVM,BASC197,-0.641,20.52,0.448,26.7%,56.7%,77.6%,12.1%
0,Baseline,fALFF,"Workflow A 
 (default)",SVM,BASC444,-0.354,18.64,0.452,34.4%,56.0%,57.1%,33.3%
0,Baseline,fALFF,"Workflow A 
 (default)",SVM,Schaefer,-0.807,21.53,0.48,0.0%,58.8%,95.9%,0.0%
0,Baseline,fALFF,"Workflow A 
 (default)",Random Forest,BASC197,0.106,15.15,0.544,47.8%,62.7%,75.5%,33.3%
0,Baseline,fALFF,"Workflow A 
 (default)",Random Forest,BASC444,0.038,15.71,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,fALFF,"Workflow A 
 (default)",Random Forest,Schaefer,-0.026,16.23,0.513,41.9%,60.8%,63.3%,39.4%
0,Baseline,fALFF,Workflow B,ElasticNet,BASC197,0.014,15.43,0.578,51.2%,64.4%,64.4%,51.2%
0,Baseline,fALFF,Workflow B,ElasticNet,BASC444,0.078,14.91,0.601,53.3%,66.7%,64.4%,55.8%
0,Baseline,fALFF,Workflow B,ElasticNet,Schaefer,-0.001,15.54,0.573,50.0%,64.3%,61.0%,53.5%
0,Baseline,fALFF,Workflow B,Gradient Boosting,BASC197,-0.006,15.58,0.592,53.8%,65.1%,69.5%,48.8%
0,Baseline,fALFF,Workflow B,Gradient Boosting,BASC444,0.077,14.92,0.579,50.0%,65.4%,57.6%,58.1%
0,Baseline,fALFF,Workflow B,Gradient Boosting,Schaefer,0.064,15.03,0.595,53.7%,65.6%,67.8%,51.2%
0,Baseline,fALFF,Workflow B,SVM,BASC197,-0.526,19.19,0.573,87.5%,61.7%,98.3%,16.3%
0,Baseline,fALFF,Workflow B,SVM,BASC444,-0.451,18.71,0.519,50.0%,58.9%,89.8%,14.0%
0,Baseline,fALFF,Workflow B,SVM,Schaefer,-0.739,20.48,0.513,50.0%,58.5%,93.2%,9.3%
0,Baseline,fALFF,Workflow B,Random Forest,BASC197,0.063,15.03,0.621,55.6%,68.4%,66.1%,58.1%
0,Baseline,fALFF,Workflow B,Random Forest,BASC444,0.055,15.1,0.638,58.1%,69.5%,69.5%,58.1%
0,Baseline,fALFF,Workflow B,Random Forest,Schaefer,0.026,15.33,0.59,51.0%,66.7%,57.6%,60.5%
0,Baseline,fALFF,Workflow C,ElasticNet,BASC197,-0.096,16.77,0.464,16.7%,57.9%,89.8%,3.0%
0,Baseline,fALFF,Workflow C,ElasticNet,BASC444,-0.07,16.57,0.463,33.3%,57.4%,71.4%,21.2%
0,Baseline,fALFF,Workflow C,ElasticNet,Schaefer,-0.018,16.17,0.417,26.1%,54.2%,65.3%,18.2%
0,Baseline,fALFF,Workflow C,Gradient Boosting,BASC197,0.124,14.99,0.539,45.2%,62.7%,65.3%,42.4%
0,Baseline,fALFF,Workflow C,Gradient Boosting,BASC444,-0.135,17.07,0.524,43.3%,61.5%,65.3%,39.4%
0,Baseline,fALFF,Workflow C,Gradient Boosting,Schaefer,-0.041,16.34,0.595,53.6%,66.7%,73.5%,45.5%
0,Baseline,fALFF,Workflow C,SVM,BASC197,-0.421,19.1,0.509,41.7%,60.3%,71.4%,30.3%
0,Baseline,fALFF,Workflow C,SVM,BASC444,-0.382,18.83,0.432,32.4%,54.2%,53.1%,33.3%
0,Baseline,fALFF,Workflow C,SVM,Schaefer,-0.692,20.84,0.5,0.0%,59.8%,100.0%,0.0%
0,Baseline,fALFF,Workflow C,Random Forest,BASC197,0.059,15.54,0.498,40.0%,59.6%,69.4%,30.3%
0,Baseline,fALFF,Workflow C,Random Forest,BASC444,0.007,15.96,0.519,43.5%,61.0%,73.5%,30.3%
0,Baseline,fALFF,Workflow C,Random Forest,Schaefer,0.013,15.92,0.478,37.0%,58.2%,65.3%,30.3%
0,Baseline,fALFF,Workflow D,ElasticNet,BASC197,-0.087,16.71,0.459,0.0%,57.7%,91.8%,0.0%
0,Baseline,fALFF,Workflow D,ElasticNet,BASC444,-0.006,16.07,0.539,45.2%,62.7%,65.3%,42.4%
0,Baseline,fALFF,Workflow D,ElasticNet,Schaefer,-0.048,16.4,0.428,16.7%,55.7%,79.6%,6.1%
0,Baseline,fALFF,Workflow D,Gradient Boosting,BASC197,0.023,15.84,0.548,45.0%,64.3%,55.1%,54.5%
0,Baseline,fALFF,Workflow D,Gradient Boosting,BASC444,-0.035,16.3,0.513,41.7%,60.9%,57.1%,45.5%
0,Baseline,fALFF,Workflow D,Gradient Boosting,Schaefer,-0.024,16.21,0.518,42.4%,61.2%,61.2%,42.4%
0,Baseline,fALFF,Workflow D,SVM,BASC197,-0.998,22.64,0.382,7.1%,52.9%,73.5%,3.0%
0,Baseline,fALFF,Workflow D,SVM,BASC444,-0.438,19.21,0.452,34.4%,56.0%,57.1%,33.3%
0,Baseline,fALFF,Workflow D,SVM,Schaefer,-0.802,21.51,0.48,0.0%,58.8%,95.9%,0.0%
0,Baseline,fALFF,Workflow D,Random Forest,BASC197,-0.013,16.12,0.519,43.5%,61.0%,73.5%,30.3%
0,Baseline,fALFF,Workflow D,Random Forest,BASC444,0.014,15.91,0.544,45.5%,63.3%,63.3%,45.5%
0,Baseline,fALFF,Workflow D,Random Forest,Schaefer,-0.035,16.3,0.453,33.3%,56.4%,63.3%,27.3%
0,Baseline,fALFF,Workflow E,ElasticNet,BASC197,-0.046,16.38,0.443,23.1%,56.5%,79.6%,9.1%
