,MDS-UPDRS Prediction target,Feature,Type,ElasticNet,ElasticNet,ElasticNet,SVM,SVM,SVM,Gradient Boosting,Gradient Boosting,Gradient Boosting,Random Forest,Random Forest,Random Forest
,,,,Schaefer,BASC197,BASC444,Schaefer,BASC197,BASC444,Schaefer,BASC197,BASC444,Schaefer,BASC197,BASC444
0,Baseline,fALFF,Original,,,,,,,0.242,,,,,
0,Baseline,fALFF,Replication,0.04,-0.035,-0.045,-0.718,-0.241,-0.182,-0.039,0.205,0.061,-0.024,0.068,0.02
0,Baseline,ReHo,Original,,,,,,,0.304,,,,,
0,Baseline,ReHo,Replication,0.124,0.057,0.117,-0.3,-0.4,-0.152,-0.102,0.028,0.027,0.024,0.022,0.099
0,Year 1,fALFF,Original,0.558,,,,,,,,,,,
0,Year 1,fALFF,Replication,0.453,0.717,0.5,0.519,0.216,0.185,0.622,0.575,0.506,0.369,0.499,0.444
0,Year 1,ReHo,Original,0.453,,,,,,,,,,,
0,Year 1,ReHo,Replication,0.535,0.434,0.512,0.04,-0.094,-0.01,0.36,0.261,0.289,0.442,0.392,0.393
0,Year 2,fALFF,Original,0.463,,,,,,,,,,,
0,Year 2,fALFF,Replication,0.529,0.277,0.285,-0.019,0.106,-0.414,-0.199,0.036,0.038,0.138,0.206,0.09
0,Year 2,ReHo,Original,0.471,,,,,,,,,,,
0,Year 2,ReHo,Replication,0.344,0.191,0.287,-0.909,-0.751,-0.053,-0.042,0.004,-0.016,0.267,0.121,0.251
0,Year 4,fALFF,Original,,,,,0.152,,,,,,,
0,Year 4,fALFF,Replication,0.397,0.115,0.351,0.196,-0.134,-0.296,0.08,0.411,-0.355,0.079,0.338,0.01
0,Year 4,ReHo,Original,,,,,0.255,,,,,,,
0,Year 4,ReHo,Replication,0.072,0.09,-0.175,-0.12,-0.23,-0.139,-0.017,0.312,0.041,-0.007,0.02,0.0
